"Digital Elevation Mode (DEM) file name","Start Age (Ma)","End Age (Ma)","geologic stage name (if apply)"
Map01_PALEOMAP_6min_Holocene_0Ma.nc,2.5,0,Holocene
Map03_PALEOMAP_6min_Pliocene_5Ma.nc,7.5,2.5,Pliocene
Map05_PALEOMAP_6min_middle_Late_Miocene_10Ma.nc,12.5,7.5,Tortonian
Map06_PALEOMAP_6min_Middle_Miocene_15Ma.nc,17.5,12.5,Serravallian
Map07_PALEOMAP_6min_Early_Miocene_20Ma.nc,22.5,17.5,Burdigalian
Map08_PALEOMAP_6min_Late_Oligocene_25Ma.nc,27.5,22.5,Chattian
Map09_PALEOMAP_6min_Early_Oligocene_30Ma.nc,32.5,27.5,Rupelian
Map10_PALEOMAP_6min_Late_Eocene_35Ma.nc,37.5,32.5,Priabonian
Map11_PALEOMAP_6min_late_Middle_Eocene_40Ma.nc,42.5,37.5,Bartonian
Map12_PALEOMAP_6min_early_Middle_Eocene_45Ma.nc,47.5,42.5,Lutetian
Map13_PALEOMAP_6min_Early_Eocene_50Ma.nc,52.5,47.5,Ypresian
Map14_PALEOMAP_6min_Paleocene_Eocene_Boundary_55Ma.nc,57.5,52.5,PETM
Map15_PALEOMAP_6min_Paleocene_60Ma.nc,62.5,57.5,Burdigalian
Map16_PALEOMAP_6min_KT_Boundary_65Ma.nc,67.5,62.5,Burdigalian
Map17_PALEOMAP_6min_Late_Cretaceous_70Ma.nc,72.5,67.5,Maastrichtian
Map18_PALEOMAP_6min_Late_Cretaceous_75Ma.nc,77.5,72.5,"Late Campanian"
Map19_PALEOMAP_6min_Late_Cretaceous_80Ma.nc,82.5,77.5,"Early Campanian"
Map20_PALEOMAP_6min_Late_Cretaceous_85Ma.nc,87.5,82.5,Burdigalian
Map21_PALEOMAP_6min_Mid_Cretaceous_90Ma.nc,92.5,87.5,"Turonian "
Map22_PALEOMAP_6min_Mid_Cretaceous_95Ma.nc,97.5,92.5,Cenomanian
Map23_PALEOMAP_6min_Early_Cretaceous_100Ma.nc,102.5,97.5,"late Albian"
Map24_PALEOMAP_6min_Early_Cretaceous_105Ma.nc,107.5,102.5,"middle Albian"
Map25_PALEOMAP_6min_Early_Cretaceous_110Ma.nc,112.5,107.5,"early Albian"
Map26_PALEOMAP_6min_Early_Cretaceous_115Ma.nc,117.5,112.5,"late Aptian"
Map27_PALEOMAP_6min_Early_Cretaceous_120Ma.nc,122.5,117.5,"early Aptian"
Map28_PALEOMAP_6min_Early_Cretaceous_125Ma.nc,127.5,122.5,Barremian
Map29_PALEOMAP_6min_Early_Cretaceous_130Ma.nc,132.5,127.5,Hauterivian
Map30_PALEOMAP_6min_Early_Cretaceous_135Ma.nc,137.5,132.5,Valanginian
Map31_PALEOMAP_6min_Early_Cretaceous_140Ma.nc,142.5,137.5,Berriasian
Map32_PALEOMAP_6min_Jurassic_Cretaceous_Boundary_145Ma.nc,147.5,142.5,Jurassic_Cretaceous_Boundary
Map33_PALEOMAP_6min_Late_Jurassic_150Ma.nc,152.5,147.5,Tithonian
Map34_PALEOMAP_6min_Late_Jurassic_155Ma.nc,157.5,152.5,Kimmeridgian
Map35_PALEOMAP_6min_Late_Jurassic_160Ma.nc,162.5,157.5,Oxfordian
Map36_PALEOMAP_6min_Middle_Jurassic_165Ma.nc,167.5,162.5,Callovian
Map37_PALEOMAP_6min_Middle_Jurassic_170Ma.nc,172.5,167.5,Burdigalian
Map38_PALEOMAP_6min_Middle_Jurassic_175Ma.nc,177.5,172.5,Aalenian
Map39_PALEOMAP_6min_Early_Jurassic_180Ma.nc,182.5,177.5,Toarcian
Map40_PALEOMAP_6min_Early_Jurassic_185Ma.nc,187.5,182.5,Pliensbachian
Map41_PALEOMAP_6min_Early_Jurassic_190Ma.nc,192.5,187.5,Sinemurian
